"#","Name","Color","Parent","Start","Stop","Icon","Description","Namechange_1","When_1","Description_1","Namechange_2","When_2","Description_2",X1,X2,X3
"N","Kondara","#5d0202","Red Hat","1999.11.11","2002.7.15",NA,"http://distrowatch.com/table.php?distribution=kondara",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Linpus","#afafaf","Red Hat","2000.1.28",NA,NA,"http://www.linpus.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ELX","#44b6fd","Red Hat","2000.2","2006",NA,"http://distrowatch.com/table.php?distribution=elx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Trustix","#c4c4c4","Red Hat","2000.3","2007.3.6",NA,"http://en.wikipedia.org/wiki/Trustix",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Finnix","#000","Red Hat","2000.3.22",NA,NA,"http://www.finnix.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","BU","#e30000","Red Hat","2000.5",NA,NA,"http://linux.bu.edu/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Miracle","#e34043","Red Hat","2000.8",NA,NA,"http://www.miraclelinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Asianux","#000","Miracle","2004.6",NA,NA,"http://www.asianux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Happy","#7ecce0","Red Hat","2000.9","2002.5",NA,"http://distrowatch.com/table.php?distribution=happy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Pingo","#203e7f","Red Hat","2000.10.1","2007.1.1",NA,"http://www.pingo.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Best","#000","Red Hat","2000.10.24","2004.12.24",NA,"http://distrowatch.com/table.php?distribution=sot","SOT","2002.4.24","http://distrowatch.com/table.php?distribution=sot","LBA","2004.4.16","http://distrowatch.com/table.php?distribution=sot",NA,NA,NA
"N","Rocks","#1e2e41","Red Hat","2000.11",NA,NA,"http://www.rocksclusters.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ClarkConnect","#608921","Red Hat","2000.11",NA,NA,"http://www.clarkconnect.com/","ClearOS","2009.10.5","http://www.clearfoundation.com/",NA,NA,NA,NA,NA,NA
"N","ASP","#8888dd","Red Hat","2001.3.22","2008.11.26",NA,"www.asplinux.ru/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Aurora","#ffa51e","Red Hat","2001.11.5","2009.11.8",NA,"http://auroralinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","SuperRescue","#4ba284","Red Hat","2001.5.1","2003",NA,"http://www.kernel.org/pub/dist/superrescue/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Independence","#993333","Red Hat","2001.6","2008",NA,"http://independence.seul.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","HP Secure","#0d56ce","Red Hat","2001.7.26","2002.10.15",NA,"http://www.hp.com/security/products/linux/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","K12","#5ac8f0","Red Hat","2001.7",NA,NA,"http://k12linux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Haydar","#d9a020","Red Hat","2002.1.26","2003.4.6",NA,"http://www.haydarlinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Bayanihan","#2a5dd5","Red Hat","2002.6.20",NA,NA,"http://www.bayanihan.gov.ph/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Aurox","#6fd96a","Red Hat","2002.11.13","2006.10.30",NA,"http://www.aurox.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","BLAG","#000","Red Hat","2002.10.22",NA,NA,"http://www.blagblagblag.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","LinuxInstall","#fdbf44","Red Hat","2003.1.7","2003.7.21",NA,"http://linuxinstall.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Berry","#ffc300","Red Hat","2003.4.13",NA,NA,"http://berry.sourceforge.jp/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","AnNyung","#4c4c4c","Red Hat","2003.6.14",NA,NA,"http://annyung.oops.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ATmission","#a6865f","Red Hat","2003.8.23","2005.9.26",NA,"http://www.atconsultancy.nl/atmission/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Fedora Core","#362e94","Red Hat","2003.11.6",NA,NA,"http://fedoraproject.org/","Fedora","2007.5.31","http://fedoraproject.org/",NA,NA,NA,NA,NA,NA
"N","NST","#000","Fedora Core","2003.12",NA,NA,"http://www.networksecuritytoolkit.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Momonga","#832519","Fedora Core","2004.8.6",NA,NA,"http://www.momonga-linux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","MythDora","#3399cc","Fedora Core","2005.6",NA,NA,"http://mythdora.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","AsianLinux","#00e3d4","Fedora Core","2005.7.2","2007.4.29",NA,"http://www.asianlinux.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
